dateTime,airTemperature,relativeHumidity,soilTemperature,solarIrradiance,rainfall,dewPoint,deltaT,wetBulb,wind_avg_speed,wind_direction,barometricPressure,batteryVoltage
2023-12-01T00:00:00Z,23.6,49.7,25.0,591,0,12.5,6.2,17.4,8.21,E,,14.37
2023-12-01T00:01:00Z,23.6,50.2,25.1,595,0,12.6,6.1,17.5,7.7,ENE,,14.38
2023-12-01T00:02:00Z,23.8,50.2,25.1,597,0,12.8,6.1,17.7,5.18,N,,14.38
2023-12-01T00:03:00Z,23.9,49.4,25.1,602,0,12.7,6.3,17.6,6.19,ENE,,14.38
2023-12-01T00:04:00Z,23.9,49.2,25.1,604,0,12.6,6.3,17.6,4.68,ESE,,14.37
2023-12-01T00:05:00Z,23.9,49.4,25.2,609,0,12.7,6.3,17.6,6.19,E,,14.38
2023-12-01T00:06:00Z,23.9,49.2,25.2,611,0,12.6,6.3,17.6,7.2,NNE,,14.38
2023-12-01T00:07:00Z,23.9,49.1,25.2,616,0,12.6,6.3,17.6,6.7,NE,,13.46
2023-12-01T00:08:00Z,24.0,49.6,25.2,621,0,12.8,6.3,17.7,6.19,E,,13.46
2023-12-01T00:09:00Z,24.2,48.5,25.2,623,0,12.7,6.5,17.7,6.19,ENE,,13.46
2023-12-01T00:10:00Z,24.2,48.9,25.2,628,0,12.8,6.4,17.8,7.2,N,,13.46
2023-12-01T00:11:00Z,24.1,48.4,25.3,631,0,12.5,6.5,17.6,6.19,NE,,13.47
2023-12-01T00:12:00Z,24.1,48.9,25.3,633,0,12.7,6.4,17.7,5.69,NNE,,13.46
2023-12-01T00:13:00Z,24.3,48.8,25.3,638,0,12.8,6.4,17.9,5.69,ENE,,13.46
2023-12-01T00:14:00Z,24.4,48.7,25.3,640,0,12.9,6.5,17.9,2.66,E,,13.46
2023-12-01T00:15:00Z,24.8,48.6,25.4,644,0,13.2,6.6,18.2,1.15,E,,13.46
2023-12-01T00:16:00Z,24.8,47.5,25.4,648,0,12.9,6.7,18.1,4.68,NNE,,13.47
2023-12-01T00:17:00Z,24.9,47.5,25.4,650,0,13.0,6.8,18.1,3.67,NE,,13.46
2023-12-01T00:18:00Z,24.8,47.1,25.4,655,0,12.8,6.8,18.0,9.22,ENE,,13.46
2023-12-01T00:19:00Z,24.9,47.5,25.4,657,0,13.0,6.8,18.1,4.18,NE,,13.47
2023-12-01T00:20:00Z,24.9,46.5,25.5,660,0,12.7,6.9,18.0,4.68,NE,,13.46
2023-12-01T00:21:00Z,24.9,47.6,25.5,664,0,13.0,6.7,18.2,6.19,ENE,,13.47
2023-12-01T00:22:00Z,25.1,47.6,25.5,667,0,13.2,6.8,18.3,3.67,ESE,,13.47
2023-12-01T00:23:00Z,25.2,47.5,25.5,671,0,13.3,6.8,18.4,5.69,SSE,,13.46
2023-12-01T00:24:00Z,25.1,47.4,25.6,676,0,13.1,6.8,18.3,5.18,SE,,13.47
2023-12-01T00:25:00Z,25.1,47.2,25.6,679,0,13.1,6.8,18.3,5.18,ESE,,13.47
2023-12-01T00:26:00Z,25.3,48.2,25.6,682,0,13.6,6.7,18.6,2.66,SE,,13.47
2023-12-01T00:27:00Z,25.5,46.0,25.6,685,0,13.0,7.1,18.4,2.66,ENE,,13.47
2023-12-01T00:28:00Z,25.5,47.4,25.6,688,0,13.5,6.9,18.6,4.68,SE,,13.47
2023-12-01T00:29:00Z,25.5,45.4,25.7,691,0,12.8,7.2,18.3,4.18,ENE,,13.47
2023-12-01T00:30:00Z,25.6,45.9,25.7,693,0,13.1,7.2,18.4,2.66,E,,13.47
2023-12-01T00:31:00Z,25.7,46.0,25.7,699,0,13.2,7.2,18.5,5.69,ESE,,13.47
2023-12-01T00:32:00Z,25.6,46.4,25.8,702,0,13.3,7.1,18.5,5.69,ESE,,13.47
